DateID,CTAS Group,ER Visits
1,1 and 2,102
1,3 only,336
1,4 and 5,434
2,1 and 2,102
2,3 only,322
2,4 and 5,393
3,1 and 2,80
3,3 only,325
3,4 and 5,356
4,1 and 2,89
4,3 only,314
4,4 and 5,332
5,1 and 2,90
5,3 only,341
5,4 and 5,365
6,1 and 2,97
6,3 only,301
6,4 and 5,376
7,1 and 2,86
7,3 only,322
7,4 and 5,361
8,1 and 2,118
8,3 only,312
8,4 and 5,402
9,1 and 2,85
9,3 only,353
9,4 and 5,361
10,1 and 2,92
10,3 only,391
10,4 and 5,325
11,1 and 2,104
11,3 only,289
11,4 and 5,391
12,1 and 2,92
12,3 only,336
12,4 and 5,363
13,1 and 2,80
13,3 only,364
13,4 and 5,345
14,1 and 2,86
14,3 only,348
14,4 and 5,399
15,1 and 2,105
15,3 only,355
15,4 and 5,425
16,1 and 2,93
16,3 only,336
16,4 and 5,436
17,1 and 2,98
17,3 only,326
17,4 and 5,394
18,1 and 2,81
18,3 only,323
18,4 and 5,340
19,1 and 2,72
19,3 only,316
19,4 and 5,356
20,1 and 2,101
20,3 only,336
20,4 and 5,361
21,1 and 2,109
21,3 only,353
21,4 and 5,401
22,1 and 2,91
22,3 only,328
22,4 and 5,446
23,1 and 2,105
23,3 only,377
23,4 and 5,388
24,1 and 2,88
24,3 only,354
24,4 and 5,362
25,1 and 2,97
25,3 only,336
25,4 and 5,322
26,1 and 2,97
26,3 only,303
26,4 and 5,381
27,1 and 2,107
27,3 only,340
27,4 and 5,309
28,1 and 2,75
28,3 only,341
28,4 and 5,420
29,1 and 2,87
29,3 only,375
29,4 and 5,383
30,1 and 2,103
30,3 only,309
30,4 and 5,410
31,1 and 2,98
31,3 only,337
31,4 and 5,380
32,1 and 2,69
32,3 only,293
32,4 and 5,357
33,1 and 2,98
33,3 only,305
33,4 and 5,339
34,1 and 2,85
34,3 only,338
34,4 and 5,366
35,1 and 2,78
35,3 only,317
35,4 and 5,402
36,1 and 2,88
36,3 only,330
36,4 and 5,413
37,1 and 2,107
37,3 only,348
37,4 and 5,340
38,1 and 2,108
38,3 only,312
38,4 and 5,354
39,1 and 2,94
39,3 only,329
39,4 and 5,346
40,1 and 2,114
40,3 only,333
40,4 and 5,381
41,1 and 2,93
41,3 only,315
41,4 and 5,340
42,1 and 2,96
42,3 only,310
42,4 and 5,394
43,1 and 2,86
43,3 only,353
43,4 and 5,421
44,1 and 2,95
44,3 only,333
44,4 and 5,416
45,1 and 2,93
45,3 only,324
45,4 and 5,373
46,1 and 2,79
46,3 only,290
46,4 and 5,365
47,1 and 2,77
47,3 only,351
47,4 and 5,379
48,1 and 2,113
48,3 only,326
48,4 and 5,391
49,1 and 2,87
49,3 only,313
49,4 and 5,377
50,1 and 2,98
50,3 only,343
50,4 and 5,416
51,1 and 2,101
51,3 only,358
51,4 and 5,364
52,1 and 2,100
52,3 only,331
52,4 and 5,441
53,1 and 2,105
53,3 only,332
53,4 and 5,340
54,1 and 2,102
54,3 only,313
54,4 and 5,352
55,1 and 2,95
55,3 only,316
55,4 and 5,350
56,1 and 2,84
56,3 only,342
56,4 and 5,357
57,1 and 2,89
57,3 only,317
57,4 and 5,392
58,1 and 2,90
58,3 only,315
58,4 and 5,397
59,1 and 2,82
59,3 only,283
59,4 and 5,317
60,1 and 2,103
60,3 only,306
60,4 and 5,323
61,1 and 2,91
61,3 only,282
61,4 and 5,352
62,1 and 2,95
62,3 only,289
62,4 and 5,361
63,1 and 2,95
63,3 only,295
63,4 and 5,380
64,1 and 2,98
64,3 only,321
64,4 and 5,431
65,1 and 2,96
65,3 only,308
65,4 and 5,358
66,1 and 2,97
66,3 only,326
66,4 and 5,336
67,1 and 2,91
67,3 only,280
67,4 and 5,345
68,1 and 2,103
68,3 only,329
68,4 and 5,319
69,1 and 2,88
69,3 only,330
69,4 and 5,325
70,1 and 2,81
70,3 only,283
70,4 and 5,389
71,1 and 2,96
71,3 only,360
71,4 and 5,392
72,1 and 2,106
72,3 only,335
72,4 and 5,373
73,1 and 2,102
73,3 only,320
73,4 and 5,400
74,1 and 2,78
74,3 only,331
74,4 and 5,315
75,1 and 2,79
75,3 only,329
75,4 and 5,347
76,1 and 2,128
76,3 only,376
76,4 and 5,348
77,1 and 2,94
77,3 only,324
77,4 and 5,394
78,1 and 2,96
78,3 only,357
78,4 and 5,450
79,1 and 2,104
79,3 only,355
79,4 and 5,391
